,Viscosity,T,CaO,Al2O3,SiO2,CaF2,MgO,result_0,result_1,result_2,result_3,result_4,result_5,result_6,result_7,result_8,result_9,result_10,result_11,result_12,result_13,result_14,result_15,result_16,result_17,result_18,result_19,result_20,result_21,result_22,result_23,result_24,result_25,result_26,result_27,result_28,result_29,result_30,result_31,result_32,result_33,result_34,result_35,result_36,result_37,result_38,result_39,result_40,result_41
16,2.84,1773,0.348,0.027,0.417,0,0.207,9.857686854892119,10.194847736484311,9.84684773648431,6.9897386954771825,6.9962035112123475,6.957700436230091,7.046134392511305,6.37154292883304,6.447791361086331,6.5185199565808825,6.570192355106567,6.471540752757861,6.548389228703445,6.619700116919194,6.686132469027523,6.748238099721711,6.796827446561134,6.46889498725658,6.547960088550747,6.49385676575978,6.5588347785023595,6.631669677119551,6.657157882605178,6.006329309321181,6.102975299911272,6.03022072130106,6.131450904354255,6.039223234715523,6.0532604287235365,6.053238017226956,6.059615811572716,6.061090938138497,6.073496875954792,6.088090938138498,5.869690614783583,5.869645529695848,6.039518681060817,5.831953013770027,5.820068266501481,5.942927379992276,6.058879276451382,6.0623945786128175
17,4.79,1773,0.423,0.058,0.445,0,0.074,9.857686854892119,10.879393867471268,10.456393867471268,6.9897386954771825,7.194865498264801,7.264044050906553,7.356371704261336,7.004732792738161,7.088558625784432,7.166316072886141,7.223123560252246,7.377516399315992,7.420406208557345,7.461293131585704,7.500332728506927,7.537663869667852,7.641653836156364,7.361362400089273,7.389718611585454,7.314380184660711,7.363133253980603,7.429535858620547,7.4933716028319735,7.327199221262536,7.442753955045649,7.378521513663758,7.462925083311136,7.401528315444718,7.430316953492179,7.429790881508026,7.558472594742446,7.558540113586467,7.636608430331325,7.616540113586467,7.62499095448241,7.624119575794255,7.557789474380651,7.5551556594096025,7.542925913691552,7.610699145210507,7.535439269823092,7.551980227292551
18,4.58,1773,0.363,0.057,0.436,0,0.144,9.857686854892119,10.659361182511175,10.296361182511175,6.9897386954771825,7.130402228620301,7.16318922633707,7.254234991914638,6.890417608822906,6.972875428869243,7.049363897249103,7.10524430308931,7.163157585329159,7.211005828190585,7.256420755400755,7.299607957476263,7.3407490701246365,7.434363539351895,7.170208848700124,7.206012992327156,7.175263371384322,7.227574579708138,7.297752752290622,7.3511217500593045,7.015757055791889,7.126853379346166,7.066194481082745,7.151693494469285,7.09854085213443,7.131528048658289,7.1310889873454535,7.177373180366747,7.177870328643385,7.2411358824293774,7.2348703286433835,7.1981069024215,7.197360611372234,7.175387623647947,7.1630611818519965,7.150938849354323,7.228489534763269,7.1972015151741076,7.203802896813543
19,4.07,1773,0.305,0.056,0.427,0,0.212,9.857686854892119,10.439328497551081,10.134328497551081,6.9897386954771825,7.066516525454876,7.064619597522457,7.15441252068102,6.779077818096086,6.860203231755908,6.9354557503652465,6.990433204737893,6.957607075789615,7.010570949661202,7.06061745091494,7.108013257551174,7.152991487327063,7.236492058311817,6.986718660292543,7.029483618890986,7.042875191012969,7.09869370740657,7.172499740881231,7.215878722671548,6.7156755561943715,6.822476101669693,6.76522811437486,6.8504902936119265,6.802342699665891,6.837599107635436,6.8372399496933625,6.803628302208885,6.805212758757039,6.85431713812395,6.8612127587570395,6.791151100106918,6.79052144136867,6.800739328051528,6.771102034357017,6.759243381390065,6.8464152543786545,6.841835133977268,6.844312629545093
20,7.6,1773,0.38,0.089,0.455,0,0.075,9.857686854892119,11.123874628538038,10.743874628538038,6.9897386954771825,7.267175098670479,7.3788654428188885,7.472652502200935,7.506698900863825,7.59653177635121,7.679861399330903,7.7407397676555405,8.006516144919992,8.030160014226455,8.05307923962411,8.07531089834503,8.096889430524731,8.239487163574728,8.086150101790325,8.071490208963386,8.014557702074791,8.052710436256751,8.112953212588554,8.207253720422322,8.702961219261509,8.83821049682952,8.781714392084071,8.825386152096584,8.781688167133098,8.801746087047102,8.798831510826327,8.86020020072679,8.860270493454047,9.045871069298387,8.949270493454048,9.059711188503778,9.055183000769263,8.910751581588237,8.999480339893013,8.987251296737616,9.017592945272575,8.908341430640847,8.919261736593473
21,6.76,1773,0.319,0.088,0.446,0,0.148,9.857686854892119,10.903841943577945,10.584841943577944,6.9897386954771825,7.202063962395258,7.275394047957963,7.367865962358798,7.379108413319839,7.467414409877845,7.549327688954147,7.609171314737756,7.764977438634856,7.792539144023368,7.819153020176802,7.844873439572391,7.869750445139569,8.00162978908076,7.860991444064266,7.855288943497862,7.849221307963474,7.890981974705812,7.955844034372528,8.037896542838801,8.290226904464227,8.419567737078731,8.368095210176426,8.418422146098214,8.403670637876168,8.440074607651633,8.437510964336012,8.39779909144057,8.398338798680648,8.555121503725305,8.486338798680647,8.562800040125325,8.558764846839688,8.44617112016363,8.547714205441421,8.535602390586307,8.57571167793135,8.487360347641422,8.491866922949331
22,6.68,1773,0.26,0.086,0.437,0,0.217,9.857686854892119,10.683809258617853,10.423809258617853,6.9897386954771825,7.137536197238732,7.1742812813456975,7.265468029467238,7.242688534470882,7.329361990527066,7.409760913263577,7.468498191271548,7.521378056865795,7.553572627931057,7.584523072982384,7.614309513059206,7.643004918896844,7.76344693524902,7.628586041186808,7.632326645705716,7.678151017387658,7.723752551928904,7.793201677081397,7.862845678079189,7.846578795676775,7.96956864089934,7.922677367168241,7.979385534488541,7.984305113354367,8.033255626290488,8.031132826702681,7.9061934607256426,7.907892507633797,8.034099752201385,7.993892507633795,8.036759826308678,8.033356194525561,7.949924151702169,8.054329841460017,8.042498449492205,8.093097048170677,8.014183415384686,8.015948133620363
23,13.3,1773,0.272,0.12,0.457,0,0.151,9.857686854892119,11.172770780751392,10.900770780751392,6.9897386954771825,7.28172399291243,7.4021862367383315,7.496269708719456,7.953400056172329,8.048578616866333,8.13686693598504,8.20136799356671,8.496192102315735,8.508314286505408,8.520201992791954,8.53186280843885,8.543303978025454,8.71430996696893,8.748124743432118,8.699504550758805,8.65805892540165,8.688587868093029,8.742040879018163,8.862806836117464,10.229580646080084,10.386684047535864,10.33576469932399,10.320791108929273,10.275209261205264,10.25833978986874,10.248677227067626,10.172711011721718,10.173284183054038,10.503698660028624,10.29328418305404,10.489622906185417,10.47497649166178,10.325782913198196,10.453493305409843,10.44138974736406,10.442175030368062,10.347802966970322,10.350798925032107
24,9.71,1773,0.213,0.117,0.447,0,0.222,9.857686854892119,10.928290019684622,10.715290019684623,6.9897386954771825,7.209269628590278,7.286773161574378,7.379389707099432,7.772566253681088,7.865580771208096,7.951861708282767,8.014896226846552,8.177997346565512,8.19393963971737,8.20950591285391,8.224710992496147,8.239568890383277,8.397342264827444,8.425616685267316,8.389579824405779,8.413232245999515,8.448081251203881,8.507742374247153,8.612107235464407,9.550492084120412,9.697874080684366,9.654021536033222,9.657303254509776,9.67897209434907,9.702305346948247,9.69423167371618,9.481787288062028,9.483606307842795,9.752284307355811,9.600606307842794,9.759346826515488,9.74702101395484,9.624209531723828,9.784175009609854,9.772372064337702,9.785511335899173,9.687480604650128,9.688665974834912
25,8.41,1773,0.157,0.115,0.438,0,0.29,9.857686854892119,10.708257334724529,10.551257334724529,6.9897386954771825,7.144677303393956,7.185401635576271,7.276729725931338,7.62453820228249,7.715781263982437,7.800418985860072,7.862253015852992,7.914962145490073,7.934517702749887,7.9535375068647625,7.972046077892629,7.9900663740212545,8.136541218418438,8.163237415450753,8.137200116768431,8.219956725059543,8.258608738342533,8.323591159629421,8.414250934578577,8.979327654415888,9.118533220110583,9.081087372107966,9.097181987556336,9.16442808933887,9.216255902123642,9.209331245488281,8.889407774350518,8.893455549245681,9.112732099364859,9.008455549245681,9.133152257099628,9.12246979177143,9.024346558639348,9.206268030522779,9.19497829448274,9.218374091032828,9.111716745489774,9.112142138942685
26,4.4,1773,0.356,0.028,0.475,0,0.141,9.857686854892119,11.612836150671578,11.256836150671578,6.9897386954771825,7.413981773872692,7.6175950314402,7.714416398234108,7.004732792738161,7.088558625784432,7.166316072886141,7.223123560252246,7.736590234579383,7.781567549624103,7.824444495238556,7.86538420285217,7.904532301821911,8.0135836025149,7.52527221250577,7.567888080652937,7.643437179117181,7.687347864563787,7.739322178846873,7.823744161033337,7.376422539448702,7.492681923306952,7.401198818538948,7.512001617080044,7.390327863969686,7.396223075096319,7.396164683402732,7.555280678512121,7.5557474178082575,7.600636912529021,7.583747417808258,7.471000407495557,7.470904869815119,7.535282407794928,7.439530177223388,7.427400317912984,7.4916196763352705,7.544095235505408,7.5469774756084265
