index,viscosity,T,CaO,Al2O3,SiO2,CaF2,MgO
254,4.27,1723,0.413,0.057,0.386,0.0,0.144
316,9.03,1623,0.348,0.027,0.417,0.0,0.207
329,12.1,1623,0.245,0.027,0.456,0.0,0.272
115,8.33,1673,0.539,0.059,0.402,0.0,0.0
97,13.7,1723,0.453,0.125,0.423,0.0,0.0
272,15.3,1673,0.396,0.156,0.37,0.0,0.079
160,4.22,1773,0.432,0.098,0.349,0.0,0.121
61,6.2,1823,0.434,0.06,0.506,0.0,0.0
130,81.6,1673,0.328,0.06,0.612,0.0,0.0
15,10.5,1765,0.45,0.1,0.45,0.0,0.0
86,30.2,1773,0.342,0.125,0.532,0.0,0.0
354,1.85,1773,0.575,0.107,0.09,0.078,0.151
156,3.42,1773,0.423,0.087,0.343,0.0,0.147
328,12.6,1623,0.299,0.027,0.465,0.0,0.208
194,3.72,1773,0.311,0.086,0.387,0.0,0.216
140,0.5,1873,0.413,0.273,0.0,0.314,0.0
259,6.5,1723,0.37,0.087,0.395,0.0,0.147
256,3.78,1723,0.298,0.055,0.371,0.0,0.276
187,3.29,1773,0.475,0.058,0.394,0.0,0.073
314,25.5,1623,0.396,0.156,0.37,0.0,0.079
87,15.1,1773,0.381,0.06,0.559,0.0,0.0
255,3.64,1723,0.355,0.056,0.378,0.0,0.211
373,1.39,1823,0.591,0.107,0.091,0.062,0.15
39,1.6,1923,0.539,0.059,0.402,0.0,0.0
215,7.0,1733,0.459,0.108,0.357,0.0,0.076
99,39.5,1723,0.358,0.197,0.445,0.0,0.0
107,22.3,1723,0.381,0.06,0.559,0.0,0.0
3,23.8,1816,0.35,0.15,0.5,0.0,0.0
123,70.1,1673,0.35,0.16,0.49,0.0,0.0
397,0.87,1863,0.591,0.107,0.091,0.062,0.15
18,20.6,1765,0.4,0.2,0.4,0.0,0.0
353,2.93,1773,0.591,0.107,0.091,0.062,0.15
303,8.34,1673,0.254,0.084,0.379,0.0,0.283
280,15.1,1673,0.319,0.088,0.446,0.0,0.148
102,22.6,1723,0.398,0.125,0.477,0.0,0.0
122,37.1,1673,0.398,0.125,0.477,0.0,0.0
288,16.9,1673,0.372,0.058,0.496,0.0,0.074
379,0.51,1873,0.604,0.15,0.085,0.082,0.079
291,12.2,1673,0.2,0.055,0.467,0.0,0.278
285,9.07,1673,0.356,0.028,0.475,0.0,0.141
290,13.1,1673,0.255,0.056,0.476,0.0,0.213
175,9.71,1773,0.213,0.117,0.447,0.0,0.222
317,16.9,1623,0.423,0.058,0.445,0.0,0.074
108,44.8,1723,0.335,0.092,0.573,0.0,0.0
361,0.6,1823,0.538,0.167,0.087,0.126,0.081
313,13.7,1623,0.378,0.119,0.353,0.0,0.15
51,4.3,1873,0.453,0.124,0.423,0.0,0.0
49,2.3,1873,0.615,0.27,0.115,0.0,0.0
152,4.61,1773,0.441,0.115,0.343,0.0,0.102
420,3.68,1793,0.605,0.106,0.094,0.046,0.149
161,5.12,1773,0.459,0.108,0.357,0.0,0.076
399,0.49,1863,0.56,0.108,0.087,0.094,0.151
121,19.4,1673,0.443,0.091,0.465,0.0,0.0
158,3.66,1773,0.414,0.087,0.352,0.0,0.147
197,7.69,1773,0.388,0.122,0.413,0.0,0.077
381,0.48,1873,0.538,0.167,0.087,0.126,0.081
228,3.6,1723,0.362,0.085,0.338,0.0,0.216
14,11.9,1765,0.45,0.15,0.4,0.0,0.0
23,50.3,1740,0.35,0.1,0.55,0.0,0.0
132,0.65,1873,0.128,0.311,0.0,0.561,0.0
350,2.11,1773,0.507,0.232,0.09,0.087,0.084
112,19.9,1673,0.463,0.159,0.378,0.0,0.0
43,3.4,1923,0.434,0.06,0.506,0.0,0.0
89,17.1,1773,0.373,0.029,0.597,0.0,0.0
13,14.9,1791,0.4,0.1,0.5,0.0,0.0
237,11.1,1723,0.38,0.089,0.455,0.0,0.075
36,2.0,1923,0.608,0.392,0.0,0.0,0.0
335,35.0,1623,0.153,0.084,0.477,0.0,0.285
