,complexity,loss,score,equation,sympy_format,lambda_format
11,13,0.0008923769213094,0.0647505371442937,(((sin(T - CaF2) / CaF2) * (Al2O3 + 0.10939600306837399)) + sin(CaF2)),sin(CaF2) - (Al2O3 + 0.10939600306837399)*sin(CaF2 - T)/CaF2,PySRFunction(X=>sin(CaF2) - (Al2O3 + 0.10939600306837399)*sin(CaF2 - T)/CaF2)
12,14,0.0007828231513217,0.13098179074993524,(((sin(T - CaF2) / CaF2) * (Al2O3 + 0.10939600306837399)) + (CaF2 / 1.10341678441475)),0.90627586431939*CaF2 - (Al2O3 + 0.10939600306837399)*sin(CaF2 - T)/CaF2,PySRFunction(X=>0.90627586431939*CaF2 - (Al2O3 + 0.10939600306837399)*sin(CaF2 - T)/CaF2)
13,15,0.0007121501931438,0.09461797550673237,(((sqrt(cube(sin(T))) / CaF2) + cube(CaF2 - -0.355156710536129)) * (Al2O3 + 0.10939600306837399)),(Al2O3 + 0.10939600306837399)*((CaF2 + 0.355156710536129)**3 + sqrt(sin(T)**3)/CaF2),PySRFunction(X=>(Al2O3 + 0.10939600306837399)*((CaF2 + 0.355156710536129)**3 + sqrt(sin(T)**3)/CaF2))
14,16,0.0006408060628745,0.10556197746877446,((((cube(sin(T + Al2O3)) / CaF2) - 0.7776316794133433) * sin(Al2O3 + 0.10939600306837399)) + CaF2),CaF2 + (-0.7776316794133433 + sin(Al2O3 + T)**3/CaF2)*sin(Al2O3 + 0.10939600306837399),PySRFunction(X=>CaF2 + (-0.7776316794133433 + sin(Al2O3 + T)**3/CaF2)*sin(Al2O3 + 0.10939600306837399))
15,17,0.0005801663880988,0.09941191869221071,((((cube(sin(T + sin(Al2O3))) / CaF2) - 0.7776316794133433) * sin(Al2O3 + 0.10939600306837399)) + CaF2),CaF2 + (-0.7776316794133433 + sin(T + sin(Al2O3))**3/CaF2)*sin(Al2O3 + 0.10939600306837399),PySRFunction(X=>CaF2 + (-0.7776316794133433 + sin(T + sin(Al2O3))**3/CaF2)*sin(Al2O3 + 0.10939600306837399))
16,18,0.0005530192285384,0.047922166196812305,((((cube(sin(T + sin(Al2O3))) / CaF2) - 0.7776316794133433) * (sin(sin(Al2O3)) + 0.10939600306837399)) + CaF2),CaF2 + (-0.7776316794133433 + sin(T + sin(Al2O3))**3/CaF2)*(sin(sin(Al2O3)) + 0.10939600306837399),PySRFunction(X=>CaF2 + (-0.7776316794133433 + sin(T + sin(Al2O3))**3/CaF2)*(sin(sin(Al2O3)) + 0.10939600306837399))
17,19,0.0005187473468909,0.06397581513035704,((cube(sin(T + CaF2) ^ cos(cube(sin(inv(CaF2))))) / sin(CaF2)) * sin(Al2O3 + 0.10939600306837399)),sin(Al2O3 + 0.10939600306837399)*sin(CaF2 + T)**(3*cos(sin(1/CaF2)**3))/sin(CaF2),PySRFunction(X=>sin(Al2O3 + 0.10939600306837399)*sin(CaF2 + T)**(3*cos(sin(1/CaF2)**3))/sin(CaF2))
18,20,0.0004794231043571,0.07883344194548163,(((((cube(sin(T + sin(Al2O3))) / CaF2) - cube(0.7776316794133433)) - Al2O3) * (sin(Al2O3) + 0.10939600306837399)) + CaF2),CaF2 + (sin(Al2O3) + 0.10939600306837399)*(-Al2O3 - 0.4702424529066792 + sin(T + sin(Al2O3))**3/CaF2),PySRFunction(X=>CaF2 + (sin(Al2O3) + 0.10939600306837399)*(-Al2O3 - 0.4702424529066792 + sin(T + sin(Al2O3))**3/CaF2))
19,22,0.0004140102870244,0.07334634687876602,((cube(sin(T + CaF2) ^ (cos(sin(inv(CaF2))) + 0.14664079317231254)) / CaF2) * sin(sin(Al2O3 + 0.10939600306837399) + 0.024601849099786)),sin(CaF2 + T)**(3*cos(sin(1/CaF2)) + 0.43992237951693762)*sin(sin(Al2O3 + 0.10939600306837399) + 0.024601849099786)/CaF2,PySRFunction(X=>sin(CaF2 + T)**(3*cos(sin(1/CaF2)) + 0.43992237951693762)*sin(sin(Al2O3 + 0.10939600306837399) + 0.024601849099786)/CaF2)
20,23,0.0003892801949485,0.06159144157405925,((cube(sin(T + CaF2) ^ (cos(sin(inv(CaF2))) / sin(1.034174981807635))) / CaF2) * sin(sin(Al2O3 + 0.10939600306837399) + 0.024601849099786)),sin(CaF2 + T)**(3.490641534818962*cos(sin(1/CaF2)))*sin(sin(Al2O3 + 0.10939600306837399) + 0.024601849099786)/CaF2,PySRFunction(X=>sin(CaF2 + T)**(3.490641534818962*cos(sin(1/CaF2)))*sin(sin(Al2O3 + 0.10939600306837399) + 0.024601849099786)/CaF2)
