index,viscosity,T,3d,4d,5d,CaO,Al2O3,SiO2,CaF2,MgO,OBforCaO,OBforAl2O3,OBforSiO2,OBforCaF2,OBforMgO
119,69.4,1673,1,0,0,0.358,0.197,0.445,0.0,0.0,1,0.605,0.48,0.0,0.0
226,3.25,1823,0,1,0,0.432,0.098,0.349,0.0,0.121,1,0.605,0.48,0.0,0.78
405,1.02,1843,0,0,1,0.591,0.107,0.091,0.062,0.15,1,0.605,0.48,1.2,0.78
262,13.69,1723,0,1,0,0.453,0.125,0.423,0.0,0.0,1,0.605,0.48,0.0,0.0
383,0.68,1873,0,0,1,0.575,0.177,0.086,0.083,0.08,1,0.605,0.48,1.2,0.78
308,7.0,1673,0,1,0,0.485,0.089,0.352,0.0,0.075,1,0.605,0.48,0.0,0.78
59,6.1,1823,1,0,0,0.474,0.195,0.332,0.0,0.0,1,0.605,0.48,0.0,0.0
203,4.8,1773,0,1,0,0.441,0.121,0.36,0.0,0.077,1,0.605,0.48,0.0,0.78
195,3.84,1773,0,1,0,0.254,0.084,0.379,0.0,0.283,1,0.605,0.48,0.0,0.78
357,1.46,1823,0,0,1,0.46,0.147,0.22,0.024,0.149,1,0.605,0.48,1.2,0.78
8,8.5,1791,1,0,0,0.45,0.1,0.45,0.0,0.0,1,0.605,0.48,0.0,0.0
362,0.81,1823,0,0,1,0.581,0.179,0.076,0.083,0.081,1,0.605,0.48,1.2,0.78
162,2.6,1773,0,1,0,0.362,0.085,0.338,0.0,0.216,1,0.605,0.48,0.0,0.78
42,3.0,1923,1,0,0,0.453,0.124,0.423,0.0,0.0,1,0.605,0.48,0.0,0.0
401,0.93,1853,0,0,1,0.591,0.107,0.091,0.062,0.15,1,0.605,0.48,1.2,0.78
263,11.26,1723,0,1,0,0.388,0.122,0.413,0.0,0.077,1,0.605,0.48,0.0,0.78
287,8.08,1673,0,1,0,0.245,0.027,0.456,0.0,0.272,1,0.605,0.48,0.0,0.78
110,51.7,1723,1,0,0,0.328,0.06,0.612,0.0,0.0,1,0.605,0.48,0.0,0.0
352,4.72,1773,0,0,1,0.605,0.106,0.094,0.046,0.149,1,0.605,0.48,1.2,0.78
98,21.7,1723,1,0,0,0.407,0.16,0.434,0.0,0.0,1,0.605,0.48,0.0,0.0
214,5.3,1733,0,1,0,0.432,0.098,0.349,0.0,0.121,1,0.605,0.48,0.0,0.78
19,20.9,1765,1,0,0,0.4,0.15,0.45,0.0,0.0,1,0.605,0.48,0.0,0.0
386,0.9,1873,0,0,1,0.543,0.201,0.088,0.085,0.082,1,0.605,0.48,1.2,0.78
343,1.21,1773,0,0,1,0.575,0.177,0.086,0.083,0.08,1,0.605,0.48,1.2,0.78
71,4.96,1773,1,0,0,0.508,0.124,0.368,0.0,0.0,1,0.605,0.48,0.0,0.0
63,6.0,1773,1,0,0,0.608,0.392,0.0,0.0,0.0,1,0.605,0.0,0.0,0.0
118,34.9,1673,1,0,0,0.407,0.16,0.434,0.0,0.0,1,0.605,0.48,0.0,0.0
295,6.77,1673,0,1,0,0.475,0.058,0.394,0.0,0.073,1,0.605,0.48,0.0,0.78
261,5.55,1723,0,1,0,0.254,0.084,0.379,0.0,0.283,1,0.605,0.48,0.0,0.78
333,19.5,1623,0,1,0,0.2,0.055,0.467,0.0,0.278,1,0.605,0.48,0.0,0.78
402,0.58,1853,0,0,1,0.575,0.107,0.09,0.078,0.151,1,0.605,0.48,1.2,0.78
270,5.3,1673,0,1,0,0.362,0.085,0.338,0.0,0.216,1,0.605,0.48,0.0,0.78
68,9.2,1773,1,0,0,0.474,0.195,0.332,0.0,0.0,1,0.605,0.48,0.0,0.0
202,3.9,1773,0,1,0,0.317,0.116,0.346,0.0,0.221,1,0.605,0.48,0.0,0.78
173,6.68,1773,0,1,0,0.26,0.086,0.437,0.0,0.217,1,0.605,0.48,0.0,0.78
136,0.53,1873,1,0,0,0.503,0.219,0.0,0.278,0.0,1,0.605,0.0,1.2,0.0
29,16.6,1714,1,0,0,0.45,0.1,0.45,0.0,0.0,1,0.605,0.48,0.0,0.0
224,2.88,1823,0,1,0,0.414,0.087,0.352,0.0,0.147,1,0.605,0.48,0.0,0.78
411,0.6,1833,0,0,1,0.56,0.108,0.087,0.094,0.151,1,0.605,0.48,1.2,0.78
144,0.99,1773,1,0,0,0.36,0.262,0.0,0.378,0.0,1,0.605,0.0,1.2,0.0
412,2.81,1813,0,0,1,0.605,0.106,0.094,0.046,0.149,1,0.605,0.48,1.2,0.78
127,35.7,1673,1,0,0,0.381,0.06,0.559,0.0,0.0,1,0.605,0.48,0.0,0.0
403,0.49,1853,0,0,1,0.56,0.108,0.087,0.094,0.151,1,0.605,0.48,1.2,0.78
186,4.01,1773,0,1,0,0.539,0.059,0.402,0.0,0.0,1,0.605,0.48,0.0,0.0
145,1.03,1773,1,0,0,0.358,0.262,0.0,0.38,0.0,1,0.605,0.0,1.2,0.0
374,0.88,1823,0,0,1,0.575,0.107,0.09,0.078,0.151,1,0.605,0.48,1.2,0.78
0,7.6,1816,1,0,0,0.45,0.15,0.4,0.0,0.0,1,0.605,0.48,0.0,0.0
273,13.0,1673,0,1,0,0.332,0.152,0.362,0.0,0.154,1,0.605,0.48,0.0,0.78
34,30.8,1714,1,0,0,0.4,0.1,0.5,0.0,0.0,1,0.605,0.48,0.0,0.0
176,8.41,1773,0,1,0,0.157,0.115,0.438,0.0,0.29,1,0.605,0.48,0.0,0.78
124,19.2,1673,1,0,0,0.434,0.06,0.506,0.0,0.0,1,0.605,0.48,0.0,0.0
192,5.02,1773,0,1,0,0.432,0.089,0.403,0.0,0.075,1,0.605,0.48,0.0,0.78
125,34.7,1673,1,0,0,0.389,0.092,0.519,0.0,0.0,1,0.605,0.48,0.0,0.0
2,24.5,1816,1,0,0,0.35,0.1,0.55,0.0,0.0,1,0.605,0.48,0.0,0.0
432,6.39,1753,0,0,1,0.605,0.106,0.094,0.046,0.149,1,0.605,0.48,1.2,0.78
38,3.6,1923,1,0,0,0.417,0.0,0.583,0.0,0.0,1,0.0,0.48,0.0,0.0
229,5.4,1723,0,1,0,0.378,0.119,0.353,0.0,0.15,1,0.605,0.48,0.0,0.78
336,1.15,1773,0,0,1,0.603,0.179,0.054,0.083,0.081,1,0.605,0.48,1.2,0.78
165,5.6,1773,0,1,0,0.332,0.152,0.362,0.0,0.154,1,0.605,0.48,0.0,0.78
225,2.91,1823,0,1,0,0.421,0.083,0.357,0.0,0.139,1,0.605,0.48,0.0,0.78
425,2.5,1783,0,0,1,0.591,0.107,0.091,0.062,0.15,1,0.605,0.48,1.2,0.78
24,49.5,1740,1,0,0,0.35,0.15,0.5,0.0,0.0,1,0.605,0.48,0.0,0.0
201,2.7,1773,0,1,0,0.422,0.087,0.344,0.0,0.147,1,0.605,0.48,0.0,0.78
267,3.9,1723,0,1,0,0.422,0.087,0.344,0.0,0.147,1,0.605,0.48,0.0,0.78
274,5.68,1673,0,1,0,0.348,0.027,0.417,0.0,0.207,1,0.605,0.48,0.0,0.78
84,8.23,1773,1,0,0,0.434,0.06,0.506,0.0,0.0,1,0.605,0.48,0.0,0.0
