,Viscosity,T,CaO,Al2O3,SiO2,CaF2,MgO,result_0,result_1,result_2,result_3,result_4,result_5,result_6,result_7,result_8,result_9,result_10,result_11,result_12,result_13,result_14,result_15,result_16,result_17,result_18,result_19,result_20,result_21,result_22,result_23,result_24,result_25,result_26,result_27,result_28,result_29,result_30,result_31,result_32,result_33,result_34,result_35,result_36,result_37,result_38,result_39,result_40,result_41,result_42,result_43,result_44,result_45,result_46,result_47,result_48,result_49,result_50,result_51,result_52,result_53,result_54,result_55,result_56,result_57,result_58,result_59,result_60,result_61,result_62,result_63
10,1.6,1773,0.543,0.201,0.088,0.085,0.082,1.8276688826259555,1.7211626125301187,1.0364168593277452,2.2509716068734065,2.2971842623516667,2.3228868822713333,1.819703805285926,2.3349323170587963,1.3675461682636687,1.4874660893357317,1.5925487725721075,1.5163176192856476,1.6579007039055307,1.5409464964719861,1.4409704809434343,1.4198581279230407,1.5064620719869104,1.5944620719869105,1.4097361690203944,1.4287429391388493,1.454483748156883,1.4501210748430065,1.4250391499791872,1.4481685524050545,1.7495996544290648,1.7114786134184337,1.7157969181885084,1.6662435006883638,1.6664583537373376,1.6780920857065762,1.6675419152168218,1.6692435006883637,1.6585465887513624,1.6284449639689282,1.6285937592491564,1.628513356264862,1.6655890518282406,1.6367623363814991,1.6265483233866767,1.6517075492575515,1.657958658147579,1.629379470654849,1.6008311162981284,1.651798881410841,1.6630289893441834,1.5891610132790905,1.6081466895393688,1.648874065823767,1.6339695312354423,1.6351304267745388,1.7528815300658316,1.7435998506824926,1.7420872019834723,1.7295296363190193,1.7202805493374207,1.7201399660293497,1.7184675250483339,1.7166008825868877,1.7355619971138392,1.7296656429744386,1.7224042052799158,1.7196309311435536,1.6966016883769857,1.7525045023081254
11,1.02,1773,0.592,0.148,0.151,0.035,0.075,1.8276688826259555,1.8076000026120045,0.9479422493851327,2.2509716068734065,2.2971842623516667,2.43954307622841,2.0325286626724597,2.297382685519304,2.4179902380914378,3.5993221241307585,2.767752476953465,3.133523578621275,2.485788430439143,2.172478692511786,1.5030325375255666,1.4185048319885039,1.503833010685704,1.654833010685704,1.5614001000768083,1.5834688720113816,1.5850080087385285,1.5905370258041722,1.597804853580822,1.561700140969501,1.1179410000512155,1.1179325915677774,1.1195986274523406,1.1197520729119337,1.1203249478282034,1.128200866427847,1.1283684389390245,1.2357520729119336,1.2357520552124872,1.1349682099657818,1.1349770027689698,1.1350168757404167,1.1725219406191354,1.157466686480309,1.1505195303878741,1.1622534687132222,1.1625642182071114,1.1471554973320146,1.1438380851543606,1.1501045797956109,1.1798030095396186,1.154966679533226,1.1621460960351395,1.1421112944217227,1.1417156459996638,1.1413958382972456,1.1631815200665467,1.1614534188742045,1.1607960253320477,1.1540176741273858,1.1564073424196568,1.1559028812880854,1.1554279236911553,1.1547478997705793,1.1357489394755351,1.146264639149466,1.1408574768328517,1.1242042995123902,1.1216830298238987,1.1401418995506774
12,1.39,1773,0.53,0.178,0.129,0.083,0.08,1.8276688826259555,1.6989323086185506,1.0111383993441416,2.2509716068734065,2.2971842623516667,2.2928847889367714,1.7707372452012078,2.324079181880444,1.366295935681339,1.9637090769376433,1.644293959947315,1.5623743308728697,1.6560038165997786,1.5392917956929644,1.4544007409826736,1.4185048319885039,1.503833010685704,1.632833010685704,1.3893907779942396,1.4084009344792818,1.4240696851740342,1.4455532960496318,1.4442153827960849,1.4369453913300567,1.8041522774513852,1.7681045094198473,1.7635304144687074,1.728237169659136,1.7284517464778921,1.741179198491128,1.7309468448012213,1.7742371696591361,1.763836692121639,1.6872468770812417,1.6873921449354625,1.6873215133791344,1.72112047955014,1.6525777376726702,1.6418752877360758,1.6671863559391216,1.6730892465939375,1.6438080870509792,1.6302812943244476,1.6655083905807786,1.667776008988485,1.542646275423034,1.5573796551340116,1.554540083304079,1.5382346825647644,1.5391681042273047,1.5053605191049222,1.494695425198784,1.4945475327766438,1.4935038916244343,1.4917315486461686,1.4913321033315092,1.4902835480245011,1.4914014587170594,1.5697443112406309,1.5620246967163136,1.555121487292823,1.5392030544920825,1.537712589826758,1.5421834227954776
13,1.33,1773,0.599,0.15,0.153,0.023,0.076,1.8276688826259555,1.8202975923459082,0.9605814793769345,2.2509716068734065,2.2971842623516667,2.45667978627232,2.0670324066493126,2.3026728061545794,2.8490106758069063,1.9989402668331244,1.6197996720632335,1.2971446128264363,1.6618695018666136,1.5323856894745342,1.5683935305371886,1.4185048319885039,1.503833010685704,1.656833010685704,1.620455727976016,1.643438513882623,1.6447308643852585,1.6454052509984802,1.6533894402915967,1.616355006287967,1.7778496434071704,1.7516329224556277,1.7346768169477167,1.7281625611734166,1.7281750206446354,1.741847090714012,1.73415237485027,1.8581625611734167,1.8502662306597029,1.741018248348428,1.7410299377191802,1.7410970787281335,1.7520751398557468,1.762559949272894,1.751443873954711,1.6945948692239448,1.696278196044944,1.6716766238176681,1.6498774796804294,1.6937300614903408,1.7231317925102476,1.6977864976547163,1.7094296190024079,1.670053370358367,1.6441701533066437,1.6457726584260104,1.7421102502192503,1.7403702647803558,1.7384057054691648,1.7213651682880664,1.7297389571808335,1.728894069723833,1.7280979621625852,1.7245122288641244,1.6275731263387037,1.6648837683512276,1.6565065733769995,1.6173611707895936,1.6093989212084556,1.6676613604476536
14,2.11,1773,0.507,0.232,0.09,0.087,0.084,1.8276688826259555,1.6603028076832325,1.0616953193113488,2.2509716068734065,2.2971842623516667,2.2407502838423157,1.690777189325817,2.3458872931647723,1.3687379295549575,1.3508218609541829,1.5485893631984302,1.4819655413124646,1.620506195664843,1.5433218460952591,1.4321277670671,1.70774194879125,1.8199848981164528,1.909984898116453,1.7053657481749624,1.7285804314672009,1.7659455252631349,1.7586103362494532,1.7323079785770141,1.777994354518175,2.0275839773222883,1.9890907203493664,1.9769235008147124,1.8632127453358425,1.8634301409289709,1.8758347936567819,1.8661489378359812,1.8662127453358426,1.8563544336892404,1.8231171121665506,1.82326663001772,1.8231900568352584,1.925508371722484,1.9438156690971151,1.9318439374985446,1.9639995451753773,1.9707182013565228,1.9377847595864086,1.8854433592013287,1.9613130184500143,1.9882783650816127,1.9886027162005224,2.0189089844615076,2.059736711144069,2.0526234391935647,2.0554463877266915,2.172000719518263,2.153369024036905,2.1526189403100937,2.148195179414309,2.1342754404445508,2.1341045711514175,2.1311842960970404,2.131917032458117,2.1930226058901536,2.1778972487554964,2.1694526236140494,2.1693754133783827,2.1298067832417673,2.204138340659499
15,1.81,1773,0.49,0.157,0.192,0.082,0.079,1.8276688826259555,1.632316219955379,0.9984991693523398,2.2509716068734065,2.2971842623516667,2.2029794904034534,1.636704496689379,2.3186903618811687,1.3656475313896208,2.382096497392981,1.673220722018327,1.5904551751408482,1.6275091124028718,1.5388905969395192,1.4633973702256446,1.4185048319885039,1.503833010685704,1.695833010685704,1.3708817039946632,1.3899117619785941,1.3975710153771066,1.4595708677676127,1.483282969025,1.4508468307691993,2.0784613335596895,2.042427660593201,2.0133169145992813,1.9897982958032696,1.9900215187963006,2.0055422134600507,1.9951352391971946,2.0997982958032697,2.0891721317717047,1.9406052797939681,1.9407544485098005,1.9406959987664412,1.9835933198954783,1.8719185014825717,1.8592399336178589,1.8899572998681287,1.8958289322360469,1.8622505169902595,1.8632646171393095,1.8841076314530292,1.8789408444824862,1.9779836920863247,1.993075223740113,1.9220155476439547,1.8805742262287568,1.8834686220074222,1.8904762411412512,1.8646286154004779,1.8639669322725112,1.8585665715967041,1.847593503937004,1.8457977390088973,1.8448154390219194,1.8462645428721196,1.9267811730479016,1.91220361850994,1.9027844893477417,1.8855263832366758,1.8817487108497915,1.8969868762741589
16,4.72,1773,0.605,0.106,0.094,0.046,0.149,1.8276688826259555,1.8312522088857732,1.8832452687784635,2.2509716068734065,2.2971842623516667,2.4714641737993994,2.0975138034865584,2.767952018622184,2.831703713597041,3.6413894460614933,3.2902296009123986,3.6665710950523107,3.9752115773355006,3.8118609509766617,3.9097531786523634,3.8553657831983363,4.437276084382884,4.531276084382884,4.42870350825787,4.501425436434852,4.440556627167562,4.4620525825394175,4.448503677158823,4.42222710784329,4.7421984742832075,4.742174356623713,4.75677379898254,4.684255689621539,4.688511334424409,4.726314876892478,4.727149326356709,4.732255689621539,4.732255645665805,4.663997941337531,4.664051015358695,4.664239794555568,4.688176057902844,4.738674744976115,4.701632271566467,4.752311822493313,4.755826239665048,4.672011864303554,4.67810238468972,4.694300819534041,4.6854984647850015,4.823805854944078,4.792976259838152,4.7917872830391985,4.798584418245369,4.823352378184969,4.754662547206781,4.79725273483475,4.796640651928154,4.814191899181109,4.810334170681802,4.8095449844418585,4.8084135374875085,4.809327173540512,4.787991681785073,4.814251722502174,4.779364749174636,4.691123153218879,4.708069339133455,4.72846053567096
17,2.93,1773,0.591,0.107,0.091,0.062,0.15,1.8276688826259555,1.8057933061082023,1.8958844987702654,2.2509716068734065,2.2971842623516667,2.4371047525172305,2.027690295192267,2.77563484268796,2.550450597175923,3.4537841966325478,2.6554261839822284,2.979086304459556,2.329469698760874,2.16241865024649,2.754472593900994,2.8577179025581545,2.8453657040311677,2.936365704031168,2.855782782458243,2.902072900457153,2.867866747687531,2.8954455885344146,2.880233373765222,2.8565733763147305,2.9851109222709638,2.9850090999771504,2.9937343961082044,2.956440348868476,2.9647891667727464,2.9825836737066314,2.9831020077535073,2.985440348868476,2.9854399812977923,2.9678235004886737,2.9679938911709876,2.9679738387557246,2.8959160196373257,2.998360602713654,2.9752524834278558,2.97858375000359,2.987228263309303,2.9289824244603087,2.9433354086909596,2.9701060558521273,2.9442899394068323,3.1702339542715405,3.150096307856096,3.095442929179607,3.1010684569571962,3.1118730708939255,3.038232157156555,3.0609644251880246,3.0601194166606125,3.061271641944857,3.0767410801619466,3.0762897989781215,3.0755563349961785,3.0754277287650353,3.13693702723369,3.153977815705287,3.131978597927539,3.0812321954262747,3.111791208373863,3.1402626344006146
18,1.85,1773,0.575,0.107,0.09,0.078,0.151,1.8276688826259555,1.7771305269140383,1.908523728762067,2.2509716068734065,2.2971842623516667,2.3984213687887808,1.953235647030469,2.783360434890802,2.300317346778435,2.768355977697067,1.810254314088667,1.7425138301521605,1.7412360878533453,1.6643168089615143,1.521698870556611,1.70774194879125,1.8199848981164528,1.909984898116453,1.7847345862684636,1.8130165171319703,1.7968185514977515,1.8322208988674904,1.8161678294716197,1.7944449290632156,1.7681616382075167,1.7241129256428078,1.771211082549465,1.7601965564422275,1.7604742768260808,1.775364466384105,1.7611887932964259,1.7721965564422275,1.7578541406134827,1.7887447713900357,1.7889504898315323,1.7888319950813436,1.8078288634606519,1.801340886386718,1.7878221965820402,1.8060589841487786,1.8148592365229441,1.7767580148922313,1.8444008842825994,1.8103007789712786,1.7825121855402053,2.008715244146898,1.99599808012725,1.9336649804241974,1.8797027612265083,1.882672803618469,1.9292785747150554,1.939847684680537,1.939197549150748,1.9353975279562963,1.950737113828023,1.9504684939056072,1.9500171969643099,1.9495960551631004,1.9845822976542902,1.9866763767932114,1.9734506794130573,1.9550960324745563,1.980317183888297,1.9958793928768441
19,1.37,1773,0.56,0.108,0.087,0.094,0.151,1.8276688826259555,1.7506725002961012,1.908523728762067,2.2509716068734065,2.2971842623516667,2.3627135265929486,1.8882230508416573,2.783360434890802,2.069044332137846,2.0828998108572647,1.4490927536843832,1.425814218054111,1.654108021538143,1.6497236797376946,1.4202121032687134,1.4185394281747747,1.5039245856601302,1.5909245856601302,1.4053391306312886,1.427208653915447,1.417656287133027,1.4603857452654077,1.4424776518363898,1.4240890369342014,1.2171465982739287,1.2153836647147565,1.217561888385207,1.215913147903948,1.2161643798291768,1.226065037988486,1.2260492269306142,1.2089131479039479,1.20869792741133,1.243160852467515,1.243233823267149,1.2432192337117691,1.2275770638274932,1.2168149549060274,1.2079931699139466,1.2360644348572403,1.238970215357985,1.2166622610326006,1.2230294438491043,1.2261719147221486,1.2216183374422867,1.2102937897027193,1.2033228040147268,1.1745496188120716,1.173494712867023,1.1733235783763412,1.165140963903239,1.1687989589900842,1.1686014829445053,1.1661637841836996,1.1713395757434655,1.1712047181726444,1.1709468051178509,1.1709944037114335,1.2005091083880643,1.195625586588238,1.1882296982229026,1.1808874380676784,1.191330457238146,1.1949628948450963
