,complexity,loss,score,equation,sympy_format,lambda_format
12,15,0.695084110995351,0.24597311608516575,((((8.44103334810924 - (cos(sqrt(T) + 0.5192866086279737) / 0.32818174710559467)) / 0.5192866086279737) * SiO2) + 5.083128747690511),SiO2*(16.25505685658177 - 5.8678425787244322*cos(sqrt(T) + 0.5192866086279737)) + 5.083128747690511,PySRFunction(X=>SiO2*(16.25505685658177 - 5.8678425787244322*cos(sqrt(T) + 0.5192866086279737)) + 5.083128747690511)
13,16,0.6591773429836301,0.053040253726269804,((((8.44103334810924 - (cos(sqrt(T) + sqrt(CaO)) / 0.32818174710559467)) / 0.5192866086279737) * SiO2) + 5.083128747690511),SiO2*(16.25505685658177 - 5.8678425787244322*cos(sqrt(CaO) + sqrt(T))) + 5.083128747690511,PySRFunction(X=>SiO2*(16.25505685658177 - 5.8678425787244322*cos(sqrt(CaO) + sqrt(T))) + 5.083128747690511)
14,17,0.459336472326013,0.3612096108473883,(((18.31949982004913 * SiO2) ^ (SiO2 ^ 0.08761907232544258)) + (4.333635487131079 - ((cos(sqrt(T)) / 0.1846749526185129) * SiO2))),-5.414919488652703*SiO2*cos(sqrt(T)) + (18.31949982004913*SiO2)**(SiO2**0.08761907232544258) + 4.333635487131079,PySRFunction(X=>-5.414919488652703*SiO2*cos(sqrt(T)) + (18.31949982004913*SiO2)**(SiO2**0.08761907232544258) + 4.333635487131079)
15,18,0.4564499749947839,0.0063038864541840696,(((18.31949982004913 * SiO2) ^ (SiO2 ^ 0.08761907232544258)) + (4.333635487131079 - ((cos(sqrt(T)) / sin(0.1846749526185129)) * SiO2))),-5.445821556495275*SiO2*cos(sqrt(T)) + (18.31949982004913*SiO2)**(SiO2**0.08761907232544258) + 4.333635487131079,PySRFunction(X=>-5.445821556495275*SiO2*cos(sqrt(T)) + (18.31949982004913*SiO2)**(SiO2**0.08761907232544258) + 4.333635487131079)
16,19,0.3739899925714297,0.19925007100301637,(((18.66656103979557 * SiO2) ^ (SiO2 ^ 0.088340551642287)) + (4.333635487131079 - ((cos(sqrt(T) + Al2O3) / 0.1846749526185129) * SiO2))),-5.414919488652703*SiO2*cos(Al2O3 + sqrt(T)) + (18.66656103979557*SiO2)**(SiO2**0.088340551642287) + 4.333635487131079,PySRFunction(X=>-5.414919488652703*SiO2*cos(Al2O3 + sqrt(T)) + (18.66656103979557*SiO2)**(SiO2**0.088340551642287) + 4.333635487131079)
17,21,0.3389853427708832,0.04913608472223768,((((8.420324497433349 / 0.44093309672059705) * SiO2) ^ (SiO2 ^ 0.088340551642287)) + (4.333635487131079 - ((cos(sqrt(T) + 0.1967512182869626) / 0.1846749526185129) * SiO2))),-5.414919488652703*SiO2*cos(sqrt(T) + 0.1967512182869626) + (19.096603453128846*SiO2)**(SiO2**0.088340551642287) + 4.333635487131079,PySRFunction(X=>-5.414919488652703*SiO2*cos(sqrt(T) + 0.1967512182869626) + (19.096603453128846*SiO2)**(SiO2**0.088340551642287) + 4.333635487131079)
18,22,0.3063981238332544,0.10107155519358213,((((8.420324497433349 / sin(0.44093309672059705)) * SiO2) ^ (SiO2 ^ 0.088340551642287)) + (4.333635487131079 - ((cos(sqrt(T) + CaO) / 0.1846749526185129) * SiO2))),-5.414919488652703*SiO2*cos(CaO + sqrt(T)) + (19.72973296994494*SiO2)**(SiO2**0.088340551642287) + 4.333635487131079,PySRFunction(X=>-5.414919488652703*SiO2*cos(CaO + sqrt(T)) + (19.72973296994494*SiO2)**(SiO2**0.088340551642287) + 4.333635487131079)
19,23,0.192609657611517,0.4642196731192084,((((18.31949982004913 * SiO2) ^ (SiO2 ^ 0.08761907232544258)) + cos(sqrt(T ^ SiO2))) + (4.333635487131079 - ((cos(sqrt(T)) / 0.1846749526185129) * SiO2))),-5.414919488652703*SiO2*cos(sqrt(T)) + (18.31949982004913*SiO2)**(SiO2**0.08761907232544258) + cos(sqrt(T**SiO2)) + 4.333635487131079,PySRFunction(X=>-5.414919488652703*SiO2*cos(sqrt(T)) + (18.31949982004913*SiO2)**(SiO2**0.08761907232544258) + cos(sqrt(T**SiO2)) + 4.333635487131079)
20,24,0.1768777230289612,0.08520697797312826,((((18.31949982004913 * SiO2) ^ (SiO2 ^ 0.08761907232544258)) + sin(cos(sqrt(T ^ SiO2)))) + (4.333635487131079 - ((cos(sqrt(T)) / 0.1846749526185129) * SiO2))),-5.414919488652703*SiO2*cos(sqrt(T)) + (18.31949982004913*SiO2)**(SiO2**0.08761907232544258) + sin(cos(sqrt(T**SiO2))) + 4.333635487131079,PySRFunction(X=>-5.414919488652703*SiO2*cos(sqrt(T)) + (18.31949982004913*SiO2)**(SiO2**0.08761907232544258) + sin(cos(sqrt(T**SiO2))) + 4.333635487131079)
21,25,0.1548794799277158,0.13281139787783713,((((18.31949982004913 * SiO2) ^ (SiO2 ^ 0.08761907232544258)) + cos(sqrt(T ^ SiO2) + SiO2)) + (4.333635487131079 - ((cos(sqrt(T)) / 0.1846749526185129) * SiO2))),-5.414919488652703*SiO2*cos(sqrt(T)) + (18.31949982004913*SiO2)**(SiO2**0.08761907232544258) + cos(SiO2 + sqrt(T**SiO2)) + 4.333635487131079,PySRFunction(X=>-5.414919488652703*SiO2*cos(sqrt(T)) + (18.31949982004913*SiO2)**(SiO2**0.08761907232544258) + cos(SiO2 + sqrt(T**SiO2)) + 4.333635487131079)
22,26,0.1383039801589629,0.11319324819309537,((((18.31949982004913 * SiO2) ^ (SiO2 ^ 0.08761907232544258)) + cos(sqrt(T ^ sin(SiO2)) + SiO2)) + (4.333635487131079 - ((cos(sqrt(T)) / 0.1846749526185129) * SiO2))),-5.414919488652703*SiO2*cos(sqrt(T)) + (18.31949982004913*SiO2)**(SiO2**0.08761907232544258) + cos(SiO2 + sqrt(T**sin(SiO2))) + 4.333635487131079,PySRFunction(X=>-5.414919488652703*SiO2*cos(sqrt(T)) + (18.31949982004913*SiO2)**(SiO2**0.08761907232544258) + cos(SiO2 + sqrt(T**sin(SiO2))) + 4.333635487131079)
23,28,0.1297518936973807,0.0319149502575675,(((((8.420324497433349 / 0.44093309672059705) * SiO2) ^ (SiO2 ^ 0.088340551642287)) + sin(cos(sqrt(T ^ SiO2)))) + (4.333635487131079 - ((cos(sqrt(T + 8.420324497433349)) / 0.1846749526185129) * SiO2))),-5.414919488652703*SiO2*cos(2.901779539770957*sqrt(0.1187602687170567*T + 1)) + (19.096603453128846*SiO2)**(SiO2**0.088340551642287) + sin(cos(sqrt(T**SiO2))) + 4.333635487131079,PySRFunction(X=>-5.414919488652703*SiO2*cos(2.901779539770957*sqrt(0.1187602687170567*T + 1)) + (19.096603453128846*SiO2)**(SiO2**0.088340551642287) + sin(cos(sqrt(T**SiO2))) + 4.333635487131079)
24,29,0.1081724882195776,0.18189705067008038,(((((8.420324497433349 / 0.4527892289873651) * SiO2) ^ sqrt(SiO2 ^ 0.0953685583356554)) + cos(sqrt(T ^ SiO2))) + (4.333635487131079 - ((cos(sqrt(T + cube(8.420324497433349))) / 0.1846749526185129) * SiO2))),-5.414919488652703*SiO2*cos(24.43392534488426*sqrt(0.001674994999307526*T + 1)) + (18.59656537383824*SiO2)**(SiO2**0.0476842791678277) + cos(sqrt(T**SiO2)) + 4.333635487131079,PySRFunction(X=>-5.414919488652703*SiO2*cos(24.43392534488426*sqrt(0.001674994999307526*T + 1)) + (18.59656537383824*SiO2)**(SiO2**0.0476842791678277) + cos(sqrt(T**SiO2)) + 4.333635487131079)
25,30,0.1010079780822338,0.06852756160474327,(((((8.420324497433349 / 0.4527892289873651) * SiO2) ^ sqrt(SiO2 ^ 0.088340551642287)) + sin(cos(sqrt(T ^ SiO2)))) + (4.333635487131079 - ((cos(sqrt(T + cube(8.420324497433349))) / 0.1846749526185129) * SiO2))),-5.414919488652703*SiO2*cos(24.43392534488426*sqrt(0.001674994999307526*T + 1)) + (18.59656537383824*SiO2)**(SiO2**0.0441702758211435) + sin(cos(sqrt(T**SiO2))) + 4.333635487131079,PySRFunction(X=>-5.414919488652703*SiO2*cos(24.43392534488426*sqrt(0.001674994999307526*T + 1)) + (18.59656537383824*SiO2)**(SiO2**0.0441702758211435) + sin(cos(sqrt(T**SiO2))) + 4.333635487131079)
26,31,0.0894447487777658,0.12157840207395378,(((((8.420324497433349 / (0.4527892289873651 + CaF2)) * SiO2) ^ (sqrt(SiO2) ^ 0.088340551642287)) + cos(sqrt(T ^ SiO2))) + (4.333635487131079 - ((cos(sqrt(T + cube(8.420324497433349))) / 0.1846749526185129) * SiO2))),-5.414919488652703*SiO2*cos(24.43392534488426*sqrt(0.001674994999307526*T + 1)) + (8.420324497433349*SiO2/(CaF2 + 0.4527892289873651))**(SiO2**0.0441702758211435) + cos(sqrt(T**SiO2)) + 4.333635487131079,PySRFunction(X=>-5.414919488652703*SiO2*cos(24.43392534488426*sqrt(0.001674994999307526*T + 1)) + (8.420324497433349*SiO2/(CaF2 + 0.4527892289873651))**(SiO2**0.0441702758211435) + cos(sqrt(T**SiO2)) + 4.333635487131079)
27,32,0.0786972130153035,0.12801336053073928,(((((8.420324497433349 / (0.4527892289873651 + CaF2)) * SiO2) ^ (sqrt(SiO2) ^ 0.088340551642287)) + sin(cos(sqrt(T ^ SiO2)))) + (4.333635487131079 - ((cos(sqrt(T + cube(8.420324497433349))) / 0.1846749526185129) * SiO2))),-5.414919488652703*SiO2*cos(24.43392534488426*sqrt(0.001674994999307526*T + 1)) + (8.420324497433349*SiO2/(CaF2 + 0.4527892289873651))**(SiO2**0.0441702758211435) + sin(cos(sqrt(T**SiO2))) + 4.333635487131079,PySRFunction(X=>-5.414919488652703*SiO2*cos(24.43392534488426*sqrt(0.001674994999307526*T + 1)) + (8.420324497433349*SiO2/(CaF2 + 0.4527892289873651))**(SiO2**0.0441702758211435) + sin(cos(sqrt(T**SiO2))) + 4.333635487131079)
28,33,0.0680920247419217,0.1447476467177115,((((((8.420324497433349 / (0.4527892289873651 + sqrt(CaF2))) * SiO2) ^ (SiO2 ^ 0.088340551642287)) + sin(cos(sqrt(T ^ SiO2)))) + (4.333635487131079 - ((cos(sqrt(T) + 0.3207935242667755) / 0.1846749526185129) * SiO2))) - -0.48933136625339985),-5.414919488652703*SiO2*cos(sqrt(T) + 0.3207935242667755) + (8.420324497433349*SiO2/(sqrt(CaF2) + 0.4527892289873651))**(SiO2**0.088340551642287) + sin(cos(sqrt(T**SiO2))) + 4.8229668533844789,PySRFunction(X=>-5.414919488652703*SiO2*cos(sqrt(T) + 0.3207935242667755) + (8.420324497433349*SiO2/(sqrt(CaF2) + 0.4527892289873651))**(SiO2**0.088340551642287) + sin(cos(sqrt(T**SiO2))) + 4.8229668533844789)
29,34,0.0619025773143619,0.09529827974615898,((((((8.420324497433349 / (0.4527892289873651 + sqrt(CaF2))) * SiO2) ^ (SiO2 ^ 0.088340551642287)) + sin(cos(sqrt(T ^ SiO2)))) + (4.333635487131079 - ((cos(sqrt(T) + 0.3207935242667755) / 0.1846749526185129) * sin(SiO2)))) - -0.48933136625339985),(8.420324497433349*SiO2/(sqrt(CaF2) + 0.4527892289873651))**(SiO2**0.088340551642287) - 5.414919488652703*sin(SiO2)*cos(sqrt(T) + 0.3207935242667755) + sin(cos(sqrt(T**SiO2))) + 4.8229668533844789,PySRFunction(X=>(8.420324497433349*SiO2/(sqrt(CaF2) + 0.4527892289873651))**(SiO2**0.088340551642287) - 5.414919488652703*sin(SiO2)*cos(sqrt(T) + 0.3207935242667755) + sin(cos(sqrt(T**SiO2))) + 4.8229668533844789)
30,35,0.0563393219491325,0.09416908817215207,((((((8.420324497433349 / (0.4527892289873651 + sqrt(sqrt(CaF2)))) * SiO2) ^ (SiO2 ^ 0.088340551642287)) + sin(cos(sqrt(T ^ SiO2)))) + (4.333635487131079 - ((cos(sqrt(T) + 0.3207935242667755) / 0.1846749526185129) * sin(SiO2)))) - -0.48933136625339985),(8.420324497433349*SiO2/(CaF2**(1/4) + 0.4527892289873651))**(SiO2**0.088340551642287) - 5.414919488652703*sin(SiO2)*cos(sqrt(T) + 0.3207935242667755) + sin(cos(sqrt(T**SiO2))) + 4.8229668533844789,PySRFunction(X=>(8.420324497433349*SiO2/(CaF2**(1/4) + 0.4527892289873651))**(SiO2**0.088340551642287) - 5.414919488652703*sin(SiO2)*cos(sqrt(T) + 0.3207935242667755) + sin(cos(sqrt(T**SiO2))) + 4.8229668533844789)
31,36,0.0539601196462672,0.04314747874296524,((((((8.420324497433349 / (0.4527892289873651 + sqrt(sqrt(CaF2)))) * SiO2) ^ (SiO2 ^ 0.088340551642287)) + sin(sin(cos(sqrt(T ^ SiO2))))) + (4.333635487131079 - ((cos(sqrt(T) + 0.3207935242667755) / 0.1846749526185129) * sin(SiO2)))) - -0.48933136625339985),(8.420324497433349*SiO2/(CaF2**(1/4) + 0.4527892289873651))**(SiO2**0.088340551642287) - 5.414919488652703*sin(SiO2)*cos(sqrt(T) + 0.3207935242667755) + sin(sin(cos(sqrt(T**SiO2)))) + 4.8229668533844789,PySRFunction(X=>(8.420324497433349*SiO2/(CaF2**(1/4) + 0.4527892289873651))**(SiO2**0.088340551642287) - 5.414919488652703*sin(SiO2)*cos(sqrt(T) + 0.3207935242667755) + sin(sin(cos(sqrt(T**SiO2)))) + 4.8229668533844789)
